"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Region = S. and SE. Asia and Indian Ocean""]"																																						
	1979	5	30	9	38	52.9			"INDONESIA:  SUMBAWA ISLAND"	-8.207	115.949	25	5.8		22	1					4.15	2					22	1					4.15	2				
	1979	6	2	9	47	58.1			"AUSTRALIA:  WESTERN"	-30.812	117.179	6	6.1								1.5	2																
	1979	10	20	1	41	10.4			"INDONESIA:  SUMBAWA ISLAND"	-8.254	115.847	38	6.2		2	1			40	1		2					2	1			40	1		2				
	1979	11	2	15	53	3.5			"INDONESIA:  JAVA"	-7.656	108.252	62	6.1		30	1			200	3	16	3					30	1			200	3	16	3				
	1979	12	15	0	2	41.6			"INDONESIA:  S SUMATERA"	-3.299	102.712	33	6.6		8	1			162	3		2	2500	4			8	1			162	3		3	2500	4		
	1979	12	17	19	58	23.8			"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK"	-8.39	115.889	33	6.3		27	1			200	3		2					27	1			200	3						
	1980	4	16	12	18	20.6			"INDONESIA:  JAVA:  TASIKMALAJA"	-8.082	108.793	84	5.8									2												2				
	1980	7	29	14	58	40.8			"NEPAL-INDIA:   PITHORAGARH"	29.598	81.092	18	6.5		200	3				3	245	4					200	3				3	245	4				
	1980	8	23	21	36	51.6			"INDIA:  KASHMIR"	32.913	75.633	25	4.9		15	1			40	1		2		3		3	15	1			40	1		2		3		
	1980	8	23	21	50	3			"INDIA:  KASHMIR"	32.834	75.629	33	4.8			1						1						1						1				
	1981	9	12	7	15	54.1			"PAKISTAN: GILGIT"	35.693	73.594	33	5.9		220	3			2500	4	5	2					220	3			2500	4	5	2				
	1981	12	12	20	26	46.9			"PAKISTAN:  CENTRAL"	29.856	66.962	33	4		6	1			12	1		2	45	1	45	1	6	1			12	1		2	45	1		
	1982	1	20	4	25	11.6			"INDIA:  LITTLE NICOBAR ISLAND"	6.946	94.002	19	6.3							2		2										2		2				
	1982	2	10	16	17	51.5			"INDONESIA:  JAVA, SUKABUMI"	-6.863	106.936	40	5.5						17	1	3.5	2									17	1	3.5	2				
	1982	2	24	4	22	40.3	2134		"INDONESIA:  NORTHERN SUMATERA"	4.374	97.755	52	5.4																									
	1982	3	11	10	32	27.7	2343		"INDONESIA:  SUMBAWA ISLAND REGION"	-9.265	118.479	33	6.4																									
	1982	8	6	20	40	52.2			"INDONESIA:  FLORES ISLANDS:  RUTENG"	-8.375	120.577	46	5.6									2												2				
	1982	12	13	9	12	48			"YEMEN:  DHAMAR"	14.701	44.379	5	6	8	2800	4			1500	4	2000	4		4			2800	4			1500	4	2000	4		4		
	1982	12	25	12	28	2.8	2689		"INDONESIA:  FLORES ISLAND:  EASTERN"	-8.405	123.08	33	5.9		13	1			390	3	1.45	2	1875	4			13	1			390	3	1.45	2	1875	4		
	1983	4	4	2	51	34.3			"INDONESIA:  SUMATERA:  BANDA ACEH"	5.723	94.722	79	6.6	7		1			100	2	1	2						1			100	2	1	2				
	1983	4	22	0	37	37			"THAILAND:  BANGKOK"	14.926	99.023	10	5.9									2												2				
	1983	8	6	4	52	53.6			"PAKISTAN:  ZIARAT"	30.349	67.84	10	4.2									2	25	1	25	1								2	25	1		
	1983	11	30	17	46	0.6	2150		"INDIAN OCEAN:  CHAGOS ARCHIPELAGO:  DIEGO GARCIA"	-6.852	72.11	10	7.6	6								1												1				
	1984	2	16	17	18	41.6			"PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI"	36.431	70.826	208	6.1	6	4	1			13	1	5	2					4	1			13	1	5	2				
	1984	8	27	6	41	26.2			"INDONESIA:  N SUMATERA:  TARUTUNG"	1.761	99.075	33	5.2						123	3	1	2	415	3							123	3	1	2	415	3		
	1984	12	30	23	33	37.7			"INDIA:  ASSAM, CACHAR DISTRICT"	24.641	92.891	23	5.6		20	1			100	2		3					20	1			100	2		3				
	1985	4	13	1	6	0.1	2160		"INDONESIA:  DENPASAR, BALI"	-9.245	114.185	99	6.2									2		2										2		2		
	1986	1	29	11	56	34.6			"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM"	-3.904	103.461	33	5						2	1		3									2	1		3				
	1986	4	26	7	35	16.1			"INDIA:  KASHMIR:  DHARMSALA,  LAHORE, PAKISTAN"	32.128	76.374	33	5.3		6	1			30	1		3					6	1			60	1		3				3
	1986	5	15	14	38	9.2			"PAKISTAN:  BARKHAM, MATAKARI, HAMTAROT"	29.627	69.363	18	5.2									3												3				
	1986	10	16	19	54	10.4			"PAKISTAN:  KHUZDAR"	27.727	66.65	43	4.5									1	150	3	150	3								1	150	3		
	1987	4	25	19	22	7.2			"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,"	2.244	98.866	11	6.6		2	1			22	1	1	2	300	3			2	1			22	1	1	2	300	3		
	1987	11	26	1	43	14	2178	4663	"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG"	-8.247	124.155	33	6.5		125	3			108	3	5	2	237	3			125	3			108	3	5	2	237	3		
	1988	2	6	14	50	45.2			"BANGLADESH:  SYLHET; INDIA:  TIPURA-ASSAM"	24.688	91.57	33	5.8		2	1			100	2		2					2	1			100	2		2				
	1988	8	6	0	36	24.6	2372		"MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL"	25.149	95.127	91	7.2	6	3	1			42	1		2					5	1	30	1	42	1		2				
	1988	8	20	23	9	9.5	5735		"NEPAL-INDIA:  KATHMANDU, BIHAR"	26.755	86.616	57	6.6	8	998	3					131.5	4					998	3		1			131.5	4				
	1989	6	12	0	4	9.7			"BANGLADESH:  BANARIPARA"	21.861	89.763	6	5.1		1	1				3		2					1	1				3		2				
	1989	7	14	20	42	40			"INDONESIA:  TIMOR:  ALOR"	-8.081	125.129	10	6.2									2																
	1990	3	4	19	46	19.6			"PAKISTAN:  KALAT, QUETTA, MASTUNG"	28.925	66.331	10	6.1		11	1			40	1	1	2				3	11	1			40	1	1	2				3
	1990	6	17	4	51	45.5			"PAKISTAN:  BALUCHISTAN"	27.398	65.719	15	6.3						6	1		1									6	1		1				
	1990	7	6	0	16	20.4			"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA"	-6.904	108.12	14	4.8						103	3		3	10300	4							103	3		3	10300	4		
	1990	11	15	2	34	32.4			"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE"	3.908	97.457	48	6.8		1	1			32	1	2.1	2					1	1			32	1	2.1	2				
	1991	1	5	14	57	11.5			"MYANMAR (BURMA):  THABEIKKYIN, MANDALAY"	23.613	95.901	20	7.1									1			32	1								1			32	1
	1991	7	4	11	43	10.4			"INDONESIA:  TIMOR:  KALABAHI, DILI"	-8.099	124.681	29	6.5		28	1			181	3	7.7	3	1150	4			28	1			181	3	7.7	3	1150	4		
	1991	10	19	21	23	14.3			"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH"	30.78	78.774	10	7	8	2000	4			1800	4	60	4	7500	4	7500	4	2000	4			1800	4	60	4	7500	4		
	1991	11	8	15	13	44.1			"INDIA:  JODHPUR, JAISALMER"	26.323	70.607	22	5									1												1				
	1991	11	22	0	40	23.9			"YEMEN:  WESTERN  ARABIAN PENINSULA"	13.887	44.068	10	4.7		11	1			40	1		2	17	1	87	2	11	1			40	1		2	17	1	87	2
	1992	2	4	1	58	39.7			"INDONESIA:  JAWA, BREBES"	-7.138	109.067	58	4.4						1	1		3	800	3	700	3					1	1		3	800	3	700	3
	1992	5	20	12	20	32.8			"PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL"	33.377	71.317	16	6		36	1			100	2		2	400	3			6	1			100	2		2	400	3		
	1992	8	28	0	50	50.4			"PAKISTAN:  KALAT"	29.087	66.74	9	5.5		4	1			200	3		2		3			4	1			200	3		2		3		
	1992	12	12	5	29	26.3	2214		"INDONESIA:  FLORES REGION, MAUMERE, BABI"	-8.48	121.896	28	7.8		1000	4			500	3	100	4	31785	4			2500	4			2103	4	100	4	31785	4		
	1993	9	29	22	25	48.6			"INDIA:  LATUR-OSMANABAD, KILLARI"	18.066	76.451	7	6.2	8	11000	4			30000	4	300	4		4		4	11000	4			30000	4	300	4		4		4
	1993	10	20	16	15	59.6			"NEPAL: NW; INDIA:  UTTAR PRADESH"	28.723	82.28	37	5.1									1																
	1993	11	12	13	27	28.1			"INDIA:  LATUR"	18.12	76.533	10	4.6						25	1		1									25	1		1			100	2
	1994	2	15	17	7	43.8			"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG"	-4.967	104.302	23	6.9		207	3			2000	4	170.476	4	6000	4			207	3			2000	4	170.476	4	6000	4		
	1994	6	2	18	17	34	2227		"INDONESIA:  JAVA"	-10.477	112.835	18	7.8			1						1					238	3			423	3	2.2	2	1500	4		
	1994	6	3	21	6	59.8	2592		"INDONESIA:  JAVA"	-10.362	112.892	26	6.6																									
	1994	6	4	0	57	50.6	5576		"INDONESIA:  JAVA"	-10.777	113.366	11	6.5																									
	1994	6	5	1	45	2.7	2593		"INDONESIA:  JAVA"	-10.341	113.369	17	6.1																									
	1995	5	14	11	33	21.1	2245		"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA"	-8.452	125.049	13	6.9	7													11	1			19	1		1		2		
	1995	10	6	18	9	45.9			"INDONESIA:  SUMATERA, JAMBI PROVINCE"	-2.045	101.436	33	6.8		84	2			1868	4		4	17600	4			84	2			1868	4		4	17600	4		
	1997	2	27	21	8	2.3			"PAKISTAN:  HARNAI-SIBI, QUETTA"	29.976	68.208	33	7.1		60	2				3		2	500	3	500	3	60	2				3		2	500	3		
	1997	3	19	19	57	11.9			"PAKISTAN:  BAJAUR, CHITRAL"	34.872	71.62	50	4.9		15	1						1				1	15	1						1				1
	1997	5	21	22	51	28.7			"INDIA:  SOUTHERN:  JABALPUR"	23.083	80.041	36	5.8	8	56	2			1000	4	143	4	8546	4	8546	4	56	2			1000	4	143	4	8546	4	52690	4
	1997	8	20	7	15	15.9			"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN"	4.358	96.494	33	6									2		3										2		3		
	1997	11	21	11	23	6.3			"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH"	22.212	92.702	54	6.1		23	1			200	3		1	1	1		1	23	1			200	3		1	1	1		1
	1998	9	28	13	34	30.4			"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR"	-8.194	112.413	152	6.6		1	1						1	38	1	62	2	1	1						1	38	1	62	2
	1999	3	28	19	5	11			"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL"	30.512	79.403	15	6.6	8	100	2			394	3	70	4	21100	4	21100	4	100	2			394	3		4	21100	4		
	1999	7	22	10	42	11.7			"BANGLADESH:  MAHESHKHALI ISLAND, COX'S BAZAAR"	21.544	91.895	10	4.2		6	1			200	3		3	700	3			6	1			200	3		3	700	3		
	1999	12	21	14	14	57.6			"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA"	-6.845	105.555	56	6.5		5	1			220	3	3.9	2			2800	4	5	1			220	3	3.9	2			2800	4
	2000	1	3	22	34	12.6			"INDIA-BANGLADESH BORDER:  MAHESHKHALI"	22.132	92.771	33	4.6									1												1			100	2
	2000	6	4	16	28	26.1			"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO"	-4.721	102.087	33	7.9	6	103	3			2174	4	6	3					103	3			2174	4	6	3				
	2000	6	7	23	45	26.6			"INDONESIA:  SOUTHERN SUMATERA:  LAHAT"	-4.612	101.905	33	6.7		1	1						2			600	3	1	1						2			600	3
	2000	6	18	14	44	13.3	2341		"AUSTRALIA:  S, COCOS ISLANDS"	-13.802	97.453	10	7.9																									
	2000	7	12	1	10	42.6			"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT"	-6.675	106.845	33	5.4						6	1		2			225	3					6	1		2			225	3
	2001	1	26	3	16	40.5			"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN"	23.419	70.232	16	7.7	10	20005	4			166836	4	2623	4	339000	4	339000	4	20005	4			166836	4	2623	4	339000	4		
	2001	2	19	15	51	35			"LAOS;  VIETNAM: DIENBIEN PHU"	21.396	102.715	10	4.9	8					4	1		3			2174	4					4	1		3			2174	4
	2001	12	19	7	54	7.9			"BANGLADESH:  DHAKA"	23.632	90.376	10	4.5	6					100	2		1				2					100	2		1				2
	2002	6	20	5	40	43.3			"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR"	25.842	88.932	40	4.5						55	2		1				2					55	2		1				2
	2002	9	13	22	28	29.4	2399		"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY"	13.036	93.068	21	6.5		2	1						1	40	1		1	2	1						2	40	1		1
	2002	11	1	22	9	29.2			"PAKISTAN:  GILGIT"	35.517	74.654	33	5.4		11	1			40	1		3		3		3	11	1			40	1		3			1000	4
	2002	11	2	1	26	10.7			"INDONESIA:  SUMATERA:  SIMEULUE"	2.824	96.085	30	7.3		3	1			65	2		3			994	3	3	1			65	2		3			994	3
	2002	11	20	21	32	30.8			"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN"	35.414	74.515	33	6.3		19	1			40	1		3	100	2	100	2	19	1			40	1		3	100	2	1256	4
	2003	1	23	0	8	22.8			"INDONESIA:  SUMBAWA ISLAND:  DOMPU"	-8.807	118.524	33	5.5	6					2	1		2			500	3					2	1		2			500	3
	2003	3	21	11	38	20			"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA"	-6.983	108.468	33	4.6									2												2			800	3
	2003	3	25	2	53	25			"INDONESIA:  FLORES:  REO"	-8.294	120.743	33	6.5		4	1			20	1		1				2	4	1			20	1		1				2
	2003	3	25	18	51	26.3			"BHUTAN:  PHUENTSHOLING"	27.264	89.331	47	5.5									1												1				1
	2003	7	15	20	27	50.5			"INDIAN OCEAN:  FELT IN MALDIVES"	-2.598	68.382	10	7.6																									
	2003	7	26	23	18	17.9			"BANGLADESH:  RANGAMATI"	22.854	92.306	10	5.7		2	1			25	1		2	500	3			2	1			25	1		2	500	3		
	2003	9	21	18	16	13.4			"MYANMAR (BURMA):  TAUNGDWINGYI; THAILAND:  BANGKOK"	19.917	95.672	10	6.6									1				2								1				2
	2003	12	5	23	41	27.4			"INDONESIA:  FLORES, RUTENG"	-8.137	120.524	33	4.9									1				1								1				1
	2004	1	1	20	59	31.9			"INDONESIA:  BALI, LOMBOK"	-8.31	115.788	45	5.8	6	1	1			29	1	12	3	6000	4			1	1			29	1	12	3	6000	4		
	2004	2	14	10	30	22.1			"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA"	34.774	73.216	11	5.4		24	1			40	1		3	1420	4	1420	4	24	1			40	1		3	1420	4	5379	4
	2004	2	16	14	44	39.9			"INDONESIA:  SUMATRA:  PADANGPANJANG"	-0.466	100.655	56	5.1		5	1			7	1		1					5	1			7	1					100	2
	2004	2	22	6	46	27			"INDONESIA:  SUMATRA:  PESISIR SELATAN"	-1.559	100.488	42	6						1	1		1									1	1		1				3
	2004	4	9	1	55	50.7			"INDONESIA:  SUMATRA:  PADANG"	-1.549	100.54	66	5.4									1												1				1
	2004	4	16	18	32	24			"INDONESIA:  BALI"	-8.669	114.65	96	5.5									1				1								1				1
	2004	4	23	1	50	30.2			"INDONESIA:  TIMOR: KUPANG"	-9.362	122.839	66	6.7									1												1				
	2004	5	8	20	11	44.2			"PAKISTAN:  QUETTA"	30.126	67.121	10	4.5		1	1			30	1		1					1	1			30	1		1				1
	2004	11	11	21	26	41.1	3013		"INDONESIA:  KEPULAUAN ALOR"	-8.152	124.868	10	7.5		34	1			400	3		3	781	3	16712	4	34	1			400	3		3	781	3	16712	4
	2004	12	9	8	49	0.2			"INDIA:  HAILAKANDI, CACHAR"	24.757	92.539	35	5.4							2		1										2		1				
	2004	12	26	0	58	53.4	2439		"INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST"	3.316	95.854	30	9.1		1001	4				3	10000	4		3		3	227899	4				3	10000	4		4		4
	2005	2	2	5	55	18.2			"INDONESIA:  JAVA:  GARUT"	-7.037	107.819	15	4.8		1	1				2		2		2		2	1	1				2		2		2		
	2005	2	15	11	15	11.7			"INDIA:  KHASPUR"	24.55	92.524	35	5.1									1												1				
	2005	3	2	11	12	14.9			"PAKISTAN:  QUETTA"	30.378	68.038	52	4.9						1	1		1									1	1		1				
	2005	3	14	9	43	49.1			"INDIA:  MAHARASHTRA:  KOLHAPUR, RATNAGIRI, SATARA"	17.145	73.73	10	4.9						45	1		2									45	1		2				
	2005	3	15	2	7	6.8			"INDIA:  MAHARASHTRA:  DHEBEWADI"	17.072	73.668	10	4.3									1												1				
	2005	3	28	16	9	36.5	2487		"INDONESIA:  SUMATERA:  SW"	2.085	97.108	30	8.6		1303	4			340	3		4	300	3	300	3	1313	4			340	3		4	300	3		
	2005	4	10	10	29	11.2	2507		"INDONESIA:  PADANG"	-1.644	99.607	19	6.7	5																								
	2005	7	5	1	52	2.9			"INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI"	1.819	97.082	21	6.7									1												1				
	2005	7	18	2	4	59.8			"INDONESIA:  TIMOR:  TIMOR TENGAH UTARA"	-9.948	124.48	10	5.3									1		1		1								1		1		
	2005	7	24	15	42	6.2			"INDIA:  ANDAMAN ISLANDS,  NICOBAR ISLANDS"	7.92	92.19	16	7.2									1		1		1								1		1		
	2005	8	14	6	33	32.5			"INDIA:  MAHARASHTRA"	17.398	74.118	35	4.4	7								2												2				
	2005	8	16	3	45	54.1			"INDIA:  UTTARANCHAL:  UTTARKAHI"	30.924	78.56	43	4.4	6								1		1		1								1		1		
	2005	8	30	8	53	17.4			"INDIA: MAHARASHTRA: AMBEGHAR, DICHOLI, KISRULE"	17.067	73.773	10	4.7	6								1												1				
	2005	10	8	3	50	40.8			"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA"	34.539	73.588	26	7.6	8	76213	4			146599	4	6680	4		3		3	76213	4			146599	4	6680	4		3		
	2005	12	14	7	9	54.1			"INDIA:  JAUSARI, CHAMOLI, NANDPRAYAG"	30.476	79.255	44	5.3		1	1			4	1		2	1	1	1	1	1	1			4	1		2	1	1		
	2006	2	14	0	55	25			"INDIA:  SIKKIM"	27.382	88.388	30	5.3		2	1			2	1		1					2	1			2	1		1				
	2006	2	23	20	4	53.5			"BHUTAN:  TASHIGANG"	26.912	91.705	10	5.8									1	126	3	126	3								1	126	3		
	2006	3	7	18	20	46.1			"INDIA:  GUJARAT"	23.777	70.899	10	5.5						7	1		1		1		1					7	1		1		1		
	2006	3	10	7	50	14.3			"PAKISTAN:  MIRPUR DISTRICT"	33.129	73.887	10	4.9		1	1			22	1							1	1			22	1						
	2006	3	28	8	35	43.3			"INDONESIA:  N. SUMATRA: TAPAKTUAN"	3.462	97.224	30	5									1												1				
	2006	4	4	9	12	23.4			"PAKISTAN:  BATGRAM"	34.6	73.136	10	4.8						28	1		1		2		2					28	1		1		2		
	2006	4	6	17	59	16.4			"INDIA:  GUJARAT"	23.322	70.477	10	5.5									1												1				
	2006	5	12	8	16	56.5			"INDONESIA:  SUMATRA:  KALIANDAK"	-5.575	105.395	17	5.5									1		2		2								1		2		
	2006	5	26	22	53	58.9			"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA"	-7.961	110.446	13	6.3		5749	4			38568	4	3100	4	127000	4	127000	4	5749	4			38568	4	3100	4	127000	4		
	2006	7	17	8	19	25	2832		"INDONESIA:  JAVA"	-9.254	107.411	34	7.7														802	3			498	3	55	4	1623	4		
	2006	12	1	14	1	47.5			"INDONESIA:  SUMABAWA:  BIMA"	-8.251	118.777	43	6.3		1	1			14	1		1	20	1			1	1			14	1		1	20	1		
	2006	12	12	17	2	29.7			"THAILAND:  MAE RIM"	18.901	98.916	10	4.6									1	5	1										1	5	1		
	2006	12	17	21	39	17.4			"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI"	0.626	99.859	30	5.8		7	1			100	2		3	680	3			7	1			100	2		3	680	2		
	2006	12	24	22	43	26.7			"INDIA:  RAJASTHAN"	26.88	76.15	10	4.2																					1				
	2007	3	6	3	49	38.9			"INDONESIA:  SUMATRA:  SOUTHERN"	-0.493	100.498	19	6.4	8	67	2			826	3		3	43719	4		4	67	2			826	3		3	43719	4		4
	2007	5	16	8	56	16.4			"LAOS:  BOKEO;  THAILAND:  CHIANG RAI, CHIAN SAEN"	20.504	100.746	24	6.3									1												1				
	2007	7	22	23	2	14.7			"INDIA:  UTTARKASHI, CHAMOLI, MUZAFFARNAGAR"	30.881	78.239	19	4.3						3	1		1		1		1					3	1		1		1		
	2007	8	8	17	4	58			"INDONESIA:  JAVA"	-5.968	107.655	289	7.5																									
	2007	8	20	19	15	53.5			"INDIA:  MAHARASHTRA:  SATARA"	17.2	73.7	5	4.4									1												1				
	2007	9	9	18	36	37.6			"INDONESIA:  SITUBONDO"	-7.783	114.338	35	4.8						13	1		1									13	1		1				
	2007	9	12	11	10	26.8	3228		"INDONESIA:  SUMATRA"	-4.438	101.367	34	8.4		25	1			161	3		3	56425	4		4	25	1			161	3		3	56425	4		4
	2007	9	12	23	49	3.7			"INDONESIA:  SUMATRA"	-2.625	100.841	35	7.9																									
	2007	10	26	6	50	6.6			"PAKISTAN:  GHANCHE"	35.304	76.753	10	4.8		1	1			12	1							1	1			12	1						
	2007	11	6	9	38	5.7			"INDIA:  GUJARAT"	21.181	70.724	10	5.1		1	1			5	1		1		2		2	1	1			5	1		1		2		
	2007	11	7	7	10	21.9			"BANGLADESH:  CHITTAGONG, BANDARBAN, RANGAMATI"	22.15	92.388	29	5.1						10	1		1									10	1		1				
	2007	11	25	16	2	17.9			"INDONESIA:  SUMBAWA ISLAND"	-8.277	118.339	35	6.5		3	1				3		2		3			3	1				3		2		3		
	2007	11	25	23	12	17			"INDIA:  BADAUN, MEERUT, NOIDA, REWARI"	28.555	77.057	10	4.7									1		1		1								1		1		
	2008	1	12	22	44	47.3			"INDIA-BANGLADESH:  RANGAMATI, BANGLADESH"	22.761	92.333	34	5									1				2								1				2
	2008	1	22	17	14	57.9			"INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI"	1.011	97.442	20	6.1		1	1			5	1		1					1	1			5	1		1				2
	2008	2	6	6	9	40.4			"INDIA:  WEST BENGAL"	23.433	87.111	10	4.3		1	1			50	1		2					1	1			50	1		2				3
	2008	2	20	8	8	30.5			"INDONESIA:  SUMATERA:  ACEH PROVINCE"	2.768	95.964	26	7.4		3	1			25	1							3	1			25	1						
	2008	2	25	8	36	33	3382		"INDONESIA:  SUMATRA:  PADANG"	-2.486	99.972	25	6.5									1				2								1				2
	2008	3	9	11	10	41			"INDIA:  GUJARAT"	23.33	70.592	10	4.5									1												1				1
	2008	6	6	21	16	33.8			"INDIA:  MANPUR"	24.702	84.964	11	3.8						2	1		1									2	1		1				
	2008	9	9	3	7	27.5			"INDONESIA:  SUMATRA:  SOUTHERN"	-3.935	103.058	25	5.4		2	1						2					2	1						2			113	3
	2008	9	16	21	47	14.5			"INDIA:  MAHARASHTRA"	17.438	73.915	10	5		1	1			20	1		3					1	1			20	1		3			1500	4
	2008	10	28	23	9	57.6			"PAKISTAN:  QUETTA"	30.639	67.351	15	6.4	6	215	3			320	3		4	3487	4	3487	4	215	3			320	3		4	3487	4	4125	4
	2008	10	29	11	32	43.1			"PAKISTAN:  ZIARAT"	30.598	67.455	14	6.4						1	1		2		2		2					1	1		2		2		
	2008	12	25	20	20	51.5			"MYANMAR (BURMA)"	23.97	97.569	35	4.7						19	1		3	30	1	30	1					19	1		3	30	1	5400	4
	2009	2	20	3	48	48.2			"PAKISTAN; INDIA:  KASHMIR"	34.204	73.899	10	5.4						44	1		1									44	1		1				2
	2009	3	26	4	44	11.6			"INDIA:  CHAIBASA"	22.399	85.903	10	4.1						5	1		1									5	1		1				1
	2009	4	9	1	46	58.2			"INDIA:  JAISALMER"	27.143	70.749	44	5.2						6	1		2									6	1		2				2
	2009	5	19	19	29	48.9			"INDIA:  KASHMIR"	33.198	75.787	21	4.9									1												1			100	2
	2009	8	10	19	55	35.6	4419		"INDIA:  ANDAMAN I"	14.099	92.888	5	7.5																									
	2009	8	16	7	38	21.7	4482		"INDONESIA:  SUMATRA:  PADANG"	-1.479	99.49	20	6.7						9	1											9	1						
	2009	8	30	19	27	48.8			"MYANMAR (BURMA);  INDIA:  SIBSAGAR"	25.28	95.101	82	5.2									1												1				
	2009	9	2	7	55	1	5734		"INDONESIA:  JAVA"	-7.782	107.297	46	7		81	2			1297	4		3			54000	4	81	2			1297	4		3			54000	4
	2009	9	18	23	6	57.7			"INDONESIA:  BALI:  DENPASAR"	-9.138	115.593	79	5.7						7	1		1				2					7	1		1				2
	2009	9	21	8	53	5.9			"BHUTAN:  TASHIGANG"	27.332	91.437	14	6.1		11	1						3		3		3	11	1				3		3		3		
	2009	9	30	10	16	9.2	4441		"INDONESIA:  SUMATRA:  PADANG"	-0.72	99.867	81	7.5		1117	4			1214	4	2200	4		3	181665	4	1117	4			1214	4	2200	4		3	181665	4
	2009	10	1	1	52	27.3			"INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI"	-2.515	101.501	10	6.6		3	1					10	3		3		3	3	1					10	3		3		
	2009	10	29	17	0	38.6			"BHUTAN:  MONGAR, PEMAGATSEL, TASHIGANG"	27.262	91.417	26	5.3									2	1	1	1	1								2	1	1	116	3
	2009	11	8	19	41	43.3			"INDONESIA:  SUMABAWA:  BIMA"	-8.207	118.631	18	6.6		2	1			200	3	2.43	2					2	1			200	3	2.43	2				2
	2009	12	12	11	51	25.7			"INDIA:  MAHARASHTRA:  SATARA"	17.109	73.767	10	5.1									1												1				2
	2009	12	31	9	57	29.7			"BHUTAN:  DAMETSI"	27.319	91.51	10	5.2						2	1		2									2	1		2			700	3
	2010	1	10	0	25	4.2			"INDONESIA:  JAVA:  GARUT"	-7.907	107.879	65	5.1		1	1			2	1							1	1			2	1						
	2010	3	30	16	54	46.7			"INDIA: ANDAMAN ISLANDS:  DIGLIPUR"	13.667	92.831	34	6.7						10	1		2									10	1		2				3
	2010	4	6	22	15	1.5	4763		"INDONESIA:  SUMATRA"	2.383	97.048	31	7.8																									
	2010	4	20	0	17	8			"AUSTRALIA:  KALGOORLIE"	-30.794	121.406	0	5.2						3	1		1									3	1		1				1
	2010	5	1	22	36	29.3			"INDIA:  CHAMOLI"	30.099	80.026	36	4.5									1												1				
	2010	5	9	5	59	41.6			"INDONESIA:  N. SUMATRA: SIMEULUE ISLAND"	3.748	96.018	38	7.2									1												1				
	2010	6	12	19	26	50.4	4902		"INDIA:  LITTLE NICOBAR ISLAND"	7.881	91.936	35	7.5	6																								
	2010	6	18	23	9	31			"INDIA:  ANDAMAN ISLANDS:  DIGLIPUR"	13.197	93.087	20	5.9									1												1				2
	2010	6	22	23	14	10.8			"INDIA:  TAULI"	29.872	80.428	16	5.2									1		1		1								1		1		
	2010	9	10	17	24	16.6			"BANGLADESH:  NARAYANGANJ"	23.407	90.648	10	4.8	5								1												1				
