"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Region = S. and SE. Asia and Indian Ocean""]"																																						
	1845	6	19				743		"INDIA:  RANN OF KUTCH"	23.583	68.367		6.3	8		1						1		1				1						2		2		
	1846	12	10			0			"INDIA"	26	93		7.5																									
	1847	10	31				757		"INDIA:  LITTLE NICOBAR ISLAND"	7.333	93.667			10								1		2										1		2		
	1847	11	16						"INDONESIA:  JAVA:  CHERIBON"	-6.67	108.55											2												2				
	1851	4	19	14	30				"PAKISTAN:  GAVADER"	25.1	62.3											2		3		3								2		3		
	1852	1	9				5454		"INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG"	-6.5	105.5	150	6.5	8								1				1								1				1
	1852	1	24						"PAKISTAN:  UPPER SINDH, FORT KAHAN, MURREE HILLS"	27.7	68.8				350	3						3		3		3	350	3						3		3		
	1852	11	11	0	0		794		"INDONESIA:  SUMATRA:  SIBOLGA"	1.5	98		6.8																									
	1856	7	25				861		"INDONESIA:  LOMBOK ISLAND"	-8.5	116																											
	1857	5	13				870		"INDONESIA:  TIMOR ISLAND::  DILHI, GERA"	-8	115.5	50	7		36	1						2		2			36	1						2		2		
	1858	8	24						"MYANMAR (BURMA):  THAYETMYO, PROME"	19	95											3												3				
	1859	10	20				892		"S. JAVA SEA"	-9	111																2	1						1				
	1861	2	16				904		"INDONESIA:  LAGUNDI, SIMUK, TELLO I"	-1	97.5	70	8.5	9		3						2					1105	4						2				
	1861	3	9				907		"INDONESIA:  SW. SUMATRA"	0.009	98	20	7			3						2	96	2			950	3						3	96	2		
	1861	4	26				909		"INDONESIA:  SW. SUMATRA"	1	97.5	70	7																									
	1861	6	17				913		"INDONESIA:  SW. SUMATRA"	1	97.5		6.8																									
	1861	9	25				914		"INDONESIA:  SW. SUMATRA"	-1.5	100		6.5																					1		1		
	1863	3	16				927		"INDONESIA:  JAVA"	-6.1	106.7																											
	1863	7	31						"INDONESIA:  JAVA:  BANYUMAS"	-7.5	109.3											2		3										2		3		
	1865	7	16						"INDONESIA:  JAVA:  AMBARAWA"	-7.2	110.3											2												2				
	1866	5	23						"NEPAL:  KATHMANDU"	27.7	85.3											2		2		2								2		2		
	1867	6	10				5749		"INDONESIA:  JAVA:  JOGYAKARTA, SURAKARTA"	-7.8	110.4			9	5	1						3	372	3			5	1						3	372	3		
	1868	6	30			0			"BANGLADESH:  SYLHET"	24.5	91.5		7.5																									
